Cell_Line,Compound_Name,concentration_points,ctrl_cell_doublings,fit_GR,fit_rel_cell,GR50,GRmax,GRmax_Death_Type,GR_AOC,GEC50,GRinf,GRinf_Death_Type,h_GR,r2_GR,pval_GR,flat_fit_GR,IC50,Emax,AUC,EC50,Einf,h,r2_rel_cell,pval_rel_cell,flat_fit_rel_cell
Cell_Line_X,Test_Compound01,4,2.7399,sigmoid,sigmoid,0.156,-0.192,Cytotoxic,0.38,0.198,-0.346,Cytotoxic,2.209,0.999,0.001,NA,0.144,0.083,0.64,0.139,0.036,2.313,0.998,0.002,NA
Cell_Line_X,Test_Compound02,4,2.7399,sigmoid,sigmoid,0.236,-0.293,Cytotoxic,0.31,0.384,-1,Cytotoxic,2.267,0.998,0.002,NA,0.211,0.058,0.72,0.211,0,2.999,0.988,0.012,NA
Cell_Line_X,Test_Compound03,4,2.7399,sigmoid,sigmoid,Inf,0.672,Partially Cytostatic,0.24,0.03,0.686,Partially Cytostatic,1.838,0.961,0.039,NA,Inf,0.613,0.71,0.027,0.626,1.795,0.968,0.032,NA
Cell_Line_X,Test_Compound04,4,2.7399,flat,flat,Inf,0.988,No Effect,0.01,0,0.988,No Effect,0.01,-0.014,1,0.986,Inf,0.983,0.98,0,0.983,0.01,-0.014,1,0.982
Cell_Line_X,Test_Compound05,4,2.7399,sigmoid,sigmoid,0.183,-0.36,Cytotoxic,0.37,0.308,-0.885,Cytotoxic,1.964,1,0,NA,0.166,0.044,0.67,0.166,0,2.503,0.998,0.002,NA
Cell_Line_X,Test_Compound06,4,2.7399,flat,flat,-Inf,-0.487,Cytotoxic,1.45,0,-0.487,Cytotoxic,0.01,0.243,0.757,-0.433,-Inf,0.024,0.03,0,0.024,0.01,0,1,0.032
Cell_Line_X,Test_Compound07,4,2.7399,sigmoid,sigmoid,0.121,-0.312,Cytotoxic,0.48,0.145,-0.347,Cytotoxic,2.925,1,0,NA,0.113,0.054,0.58,0.109,0.045,3.121,0.999,0.001,NA
Cell_Line_X,Test_Compound08,4,2.7399,flat,flat,Inf,0.915,No Effect,0.03,0,0.915,No Effect,0.01,0.949,0.051,0.963,Inf,0.888,0.96,0,0.888,0.01,0.944,0.056,0.951
Cell_Line_X,Test_Compound09,4,2.7399,sigmoid,sigmoid,0.871,0.779,Partially Cytostatic,0.03,0.575,0.399,Partially Cytostatic,3.866,0.974,0.026,NA,0.75,0.726,0.96,0.538,0.362,3.871,0.968,0.032,NA
Cell_Line_X,Test_Compound10,4,2.7399,sigmoid,sigmoid,Inf,0.925,Partially Cytostatic,0.05,6.106,0.718,Partially Cytostatic,0.386,0.955,0.045,NA,Inf,0.901,0.93,0.056,0.887,0.896,0.998,0.002,NA
