Cell_Line,Compound_Name,Concentration,log10_concentration,units,time,cell_count__time0,cell_count__endpoint_ctrl,ctrl_cell_doublings,cell_count__endpoint,rel_cell_count,Viability_Bin,GRvalue,Growth_Inhibition_Bin
Cell_Line_X,Test_Compound01,0.5,-0.3010299956639812,uM,72,4440.5,29663.5,2.74,2476,0.08,Very Low,-0.19,Cytotoxic
Cell_Line_X,Test_Compound01,0.15,-0.8239087409443188,uM,72,4440.5,29663.5,2.74,14181,0.48,Low,0.53,Partial Inhibition
Cell_Line_X,Test_Compound01,0.047,-1.3279021420642825,uM,72,4440.5,29663.5,2.74,27369,0.92,Normal,0.94,No Effect
Cell_Line_X,Test_Compound01,0.015,-1.8239087409443189,uM,72,4440.5,29663.5,2.74,30414,1.02,Normal,1.02,No Effect
Cell_Line_X,Test_Compound02,0.5,-0.3010299956639812,uM,72,4440.5,29663.5,2.74,1715,0.06,Very Low,-0.29,Cytotoxic
Cell_Line_X,Test_Compound02,0.15,-0.8239087409443188,uM,72,4440.5,29663.5,2.74,22091,0.74,Moderate,0.8,Partial Inhibition
Cell_Line_X,Test_Compound02,0.047,-1.3279021420642825,uM,72,4440.5,29663.5,2.74,27069,0.91,Normal,0.93,No Effect
Cell_Line_X,Test_Compound02,0.015,-1.8239087409443189,uM,72,4440.5,29663.5,2.74,29281,0.99,Normal,0.99,No Effect
Cell_Line_X,Test_Compound03,0.5,-0.3010299956639812,uM,72,4440.5,29663.5,2.74,19290,0.65,Moderate,0.71,Partial Inhibition
Cell_Line_X,Test_Compound03,0.15,-0.8239087409443188,uM,72,4440.5,29663.5,2.74,18171,0.61,Moderate,0.67,Partial Inhibition
Cell_Line_X,Test_Compound03,0.047,-1.3279021420642825,uM,72,4440.5,29663.5,2.74,21957,0.74,Moderate,0.79,Partial Inhibition
Cell_Line_X,Test_Compound03,0.015,-1.8239087409443189,uM,72,4440.5,29663.5,2.74,26683,0.9,Normal,0.92,No Effect
Cell_Line_X,Test_Compound04,0.5,-0.3010299956639812,uM,72,4440.5,29663.5,2.74,29161,0.98,Normal,0.99,No Effect
Cell_Line_X,Test_Compound04,0.15,-0.8239087409443188,uM,72,4440.5,29663.5,2.74,29303,0.99,Normal,0.99,No Effect
Cell_Line_X,Test_Compound04,0.047,-1.3279021420642825,uM,72,4440.5,29663.5,2.74,28566,0.96,Normal,0.97,No Effect
