PlateID,Batch,Barcode,Screen_Run,Cell_Line,VCFG_Plate_ID,Test_Compound_ID,Test_Compound_Name,Well,row,col,drug1,conc1,conc_unit1,drug2,conc2,conc_unit2,Description,Count_Cells,Count_Cells_Norm
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,C09,3,9,Anchor,1.6,uM,Test_Compound01,1,uM,Sample,1091,0.4372745490981964
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,C10,3,10,Anchor,1.6,uM,Test_Compound01,0.1,uM,Sample,1592,0.6380761523046092
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,C11,3,11,Anchor,1.6,uM,Test_Compound01,0.01,uM,Sample,1517,0.6080160320641282
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,C12,3,12,Anchor,1.6,uM,Test_Compound01,0.001,uM,Sample,1233,0.494188376753507
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,C13,3,13,Anchor,1.6,uM,Test_Compound01,1e-4,uM,Sample,1770,0.7094188376753507
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,C14,3,14,Anchor,1.6,uM,Test_Compound01,0,uM,Sample,1363,0.5462925851703406
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,D09,4,9,Anchor,0.16,uM,Test_Compound01,1,uM,Sample,1501,0.6016032064128256
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,D10,4,10,Anchor,0.16,uM,Test_Compound01,0.1,uM,Sample,1575,0.6312625250501002
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,D11,4,11,Anchor,0.16,uM,Test_Compound01,0.01,uM,Sample,1647,0.660120240480962
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,D12,4,12,Anchor,0.16,uM,Test_Compound01,0.001,uM,Sample,1824,0.731062124248497
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,D13,4,13,Anchor,0.16,uM,Test_Compound01,1e-4,uM,Sample,1894,0.7591182364729459
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,D14,4,14,Anchor,0.16,uM,Test_Compound01,0,uM,Sample,1931,0.7739478957915832
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,E09,5,9,Anchor,0.016,uM,Test_Compound01,1,uM,Sample,1490,0.5971943887775552
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,E10,5,10,Anchor,0.016,uM,Test_Compound01,0.1,uM,Sample,1589,0.6368737474949899
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,E11,5,11,Anchor,0.016,uM,Test_Compound01,0.01,uM,Sample,1550,0.6212424849699398
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,E12,5,12,Anchor,0.016,uM,Test_Compound01,0.001,uM,Sample,1760,0.7054108216432866
A50363_231208160001,1,081223-C28KP-10841-D1,20231208,Cell_LineX,01,1,Idasanutlin,E13,5,13,Anchor,0.016,uM,Test_Compound01,1e-4,uM,Sample,1678,0.6725450901803607
