block_id,drug1,drug2,conc_unit1,conc_unit2,ZIP_synergy_p_value,ZIP_synergy_mean,ZIP_synergy_max,HSA_synergy_p_value,HSA_synergy_mean,HSA_synergy_max,Bliss_synergy_p_value,Bliss_synergy_mean,Bliss_synergy_max,Loewe_synergy_p_value,Loewe_synergy_mean,Loewe_synergy_max,ic50_drug1,ic50_drug2,ri_drug1,ri_drug2,css_drug1_ic50_drug2,css_drug2_ic50_drug1,css
1,Anchor,Test_Compound01,uM,uM,0.021,-5.721,15.172,0.41,-1.85,12.022,0.011,-6.907,13.212,0.391,-1.724,20.809,4.934e-4,0.0030963,26.336,16.468,30.305,15.247,22.776
2,Anchor,Test_Compound02,uM,uM,0.798,0.36,15.415,0.257,1.439,14.266,0.679,0.594,18.057,0.491,0.981,16.446,6.137e-4,0.0427876,48.994,1.779,49.462,28.68,39.071
3,Anchor,Test_Compound03,uM,uM,0.777,-0.25,7.314,0.485,0.722,9.634,0.31,-0.955,6.648,0.668,0.55,11.82,8.217e-4,1,44.695,1.861,52.378,27.515,39.946
4,Anchor,Test_Compound04,uM,uM,0.864,-0.345,26.651,0.765,0.446,21.224,0.936,0.18,38.384,0.967,-0.074,19.846,0.0013693,0.0888222,45.444,19.495,65.168,45.855,55.511
5,Anchor,Test_Compound05,uM,uM,0.748,0.65,18.345,0.001,4.292,14.487,0.459,1.726,23.756,0.006,3.452,12.124,0.0011996,0.0751191,46.96,9.427,60.677,45.873,53.275
6,Anchor,Test_Compound06,uM,uM,0.01,4.855,21.001,0,8.004,24.16,0.005,5.291,27.559,0.001,6.67,23.152,0.0011043,1,46.397,3.269,60.688,40.12,50.404
7,Anchor,Test_Compound07,uM,uM,0.118,-2.196,8.911,0.076,1.939,10.206,0.016,-3.269,8.415,0.5,0.871,13.097,5.589e-4,0.0656058,49.076,21.721,54.21,35.648,44.929
8,Anchor,Test_Compound08,uM,uM,0.521,-1.354,19.202,0.039,3.395,30.456,0.295,-2.06,19.82,0.128,2.575,29.858,6.115e-4,0.0087092,40.975,24.039,45.288,36.181,40.734
9,Anchor,Test_Compound09,uM,uM,0.644,0.99,16.033,0.64,-0.742,13.793,0.432,1.951,23.718,0.198,-1.941,14.917,0.0012337,0.0545165,41.674,-1.373,44.125,28.163,36.144
10,Anchor,Test_Compound10,uM,uM,0,7.672,18.173,0,3.4,9.843,0,7.539,22.42,0.013,2.492,10.378,4.774e-4,1,41.955,-8.514,49.776,22.781,36.278
11,Anchor,Test_Compound11,uM,uM,0,-13.457,0,0.301,0.477,5.735,0,-13.641,0,0.847,0.154,7.296,0.0033089,0.0013338,47.311,47.012,50.385,51.837,51.111
12,Anchor,Test_Compound12,uM,uM,0,7.797,23.671,0,7.407,21.673,0.001,6.617,26.672,0,7.37,24.69,0.001021,0.1192961,42.506,4.153,53.677,34.659,44.168
13,Anchor,Test_Compound13,uM,uM,0,7.967,16.664,0,13.476,35.164,0,6.533,14.727,0.001,10.189,27.901,8.608e-4,0.0080251,43.519,18.239,65.481,37.817,51.649
14,Anchor,Test_Compound14,uM,uM,0,-13.111,5.284,0.013,2.513,14.462,0,-13.116,7.106,0.009,2.12,8.073,0.0015216,6.51e-5,45.554,52.267,56.298,55.296,55.797
15,Anchor,Test_Compound15,uM,uM,0.028,-5.626,17.056,0.607,0.997,23.389,0.032,-5.695,20.432,0.826,0.444,16.741,8.106e-4,0.0368761,49.367,31.584,62.86,49.097,55.978
16,Anchor,Test_Compound16,uM,uM,0.012,-3.954,8.553,0.011,3.286,19.434,0,-5.403,7.371,0.043,3.429,27.155,8.369e-4,0.0332813,51.094,26.945,60.045,43.077,51.561
17,Anchor,Test_Compound17,uM,uM,0.006,-3.558,6.602,0.004,2.964,11.623,0.009,-3.205,6.921,0.029,2.952,15.179,0.06351,0.0121131,46.997,11.917,51.615,59.477,55.546
18,Anchor,Test_Compound18,uM,uM,0,-9.402,0,0.026,2.882,13.763,0,-9.056,2.131,0.038,3.005,16.044,0.0019848,0.0014271,50.865,30.4,52.523,48.317,50.42
19,Anchor,Test_Compound19,uM,uM,0.006,3.121,18.556,0,5.571,15.765,0.009,3.306,15.895,0,5.786,24.012,0.0010754,1.972e-4,48.427,7.058,52.778,38.621,45.7
20,Anchor,Test_Compound20,uM,uM,0.012,-2.306,4.183,0.015,2.51,11.66,0.016,-2.41,8.719,0.038,2.907,13.427,0.0012499,0.0074798,53.741,11.688,57.178,44.708,50.943
21,Anchor,Test_Compound21,uM,uM,0.829,0.263,17.36,0.005,4.735,19.332,0.972,-0.053,16.095,0.041,4.032,24.187,0.0018011,0.1754475,45.973,8.901,57.159,39.806,48.483
22,Anchor,Test_Compound22,uM,uM,0.01,-4.549,7.225,0.967,0.044,10.856,0.07,-3.128,18.682,0.955,-0.092,13.87,0.0015304,8.966e-4,43.977,12.092,43.673,29.344,36.508
23,Anchor,Test_Compound23,uM,uM,0,-10.734,9.81,0.517,-0.775,12.276,0,-10.229,18.095,0.317,-1.569,10.106,0.0012305,0.0047944,49.098,30.423,48.579,43.055,45.817
24,Anchor,Test_Compound24,uM,uM,0.04,-4.49,14.362,0.385,1.152,13.688,0.004,-5.999,20.359,0.583,0.858,16.257,7.535e-4,0.0296899,49.364,21.275,55.898,34.892,45.395
25,Anchor,Test_Compound25,uM,uM,0,-13.358,0,0.039,2.849,16.574,0,-13.273,0,0.064,2.485,17.998,0.0024413,6.42e-5,48.792,45.544,55.879,56.758,56.318
26,Anchor,Test_Compound26,uM,uM,0.451,0.732,12.59,0.119,2.113,12.831,0.709,0.413,13.844,0.178,2.02,18.047,5.111e-4,0.0760072,50.774,2.523,53.317,29.623,41.47
27,Anchor,Test_Compound27,uM,uM,0.547,-1.491,20.881,0.348,1.47,23.384,0.697,-1.091,32.374,0.569,0.812,18.419,0.0020403,0.013489,41.071,10.378,44.201,32.283,38.242
28,Anchor,Test_Compound28,uM,uM,0.431,-1.04,13.436,0.001,5.109,19.44,0.605,-0.924,21.861,0.002,4.483,18.354,0.002809,0.088153,42.889,11.151,53.934,41.054,47.494
