"Cell_Line","Compound_Name","AUC","Relative_AUC","Robust_ZScore_AUC"
"Cell_LineX","Test_Compound01",6.67,0.67,-0.46
"Cell_LineX","Test_Compound02",1.25,0.13,-2.12
"Cell_LineX","Test_Compound03",9.77,0.99,0.49
"Cell_LineX","Test_Compound04",8.2,0.83,0.01
"Cell_LineX","Test_Compound05",7.96,0.8,-0.06
"Cell_LineX","Test_Compound06",7.65,0.77,-0.16
"Cell_LineX","Test_Compound07",0.21,0.02,-2.44
"Cell_LineX","Test_Compound08",7.46,0.75,-0.22
"Cell_LineX","Test_Compound09",2.49,0.25,-1.74
"Cell_LineX","Test_Compound10",9.07,0.92,0.28
"Cell_LineX","Test_Compound100",2.97,0.3,-1.59
"Cell_LineX","Test_Compound101",2.44,0.25,-1.76
"Cell_LineX","Test_Compound102",0.64,0.06,-2.31
"Cell_LineX","Test_Compound103",10.17,1.03,0.61
"Cell_LineX","Test_Compound104",8.33,0.84,0.05
"Cell_LineX","Test_Compound105",8.48,0.86,0.09
"Cell_LineX","Test_Compound106",9.15,0.92,0.3
"Cell_LineX","Test_Compound107",3.32,0.34,-1.49
"Cell_LineX","Test_Compound108",2.91,0.29,-1.61
"Cell_LineX","Test_Compound109",7.17,0.72,-0.31
"Cell_LineX","Test_Compound11",3.33,0.34,-1.49
"Cell_LineX","Test_Compound110",4.12,0.42,-1.24
"Cell_LineX","Test_Compound111",11.24,1.14,0.94
"Cell_LineX","Test_Compound112",10.83,1.09,0.81
"Cell_LineX","Test_Compound113",5.57,0.56,-0.8
"Cell_LineX","Test_Compound114",3.9,0.39,-1.31
"Cell_LineX","Test_Compound115",4.37,0.44,-1.17
"Cell_LineX","Test_Compound116",12.35,1.25,1.28
"Cell_LineX","Test_Compound117",10.89,1.1,0.83
"Cell_LineX","Test_Compound118",8.74,0.88,0.18
"Cell_LineX","Test_Compound119",10.83,1.09,0.82
"Cell_LineX","Test_Compound12",4.1,0.41,-1.25
"Cell_LineX","Test_Compound120",7.19,0.73,-0.3
"Cell_LineX","Test_Compound121",9.52,0.96,0.41
"Cell_LineX","Test_Compound122",10.39,1.05,0.68
"Cell_LineX","Test_Compound123",6.59,0.67,-0.49
"Cell_LineX","Test_Compound124",5.99,0.61,-0.67
"Cell_LineX","Test_Compound125",10.28,1.04,0.65
"Cell_LineX","Test_Compound126",4.38,0.44,-1.16
"Cell_LineX","Test_Compound127",12.8,1.29,1.42
"Cell_LineX","Test_Compound128",3.31,0.33,-1.49
"Cell_LineX","Test_Compound129",9,0.91,0.25
"Cell_LineX","Test_Compound13",10.24,1.03,0.63
"Cell_LineX","Test_Compound130",2.58,0.26,-1.72
"Cell_LineX","Test_Compound131",6.57,0.66,-0.49
"Cell_LineX","Test_Compound132",4.78,0.48,-1.04
"Cell_LineX","Test_Compound133",10.01,1.01,0.57
"Cell_LineX","Test_Compound134",7.98,0.81,-0.06
"Cell_LineX","Test_Compound135",1.71,0.17,-1.98
"Cell_LineX","Test_Compound136",3.91,0.4,-1.31
"Cell_LineX","Test_Compound137",0.4,0.04,-2.38
"Cell_LineX","Test_Compound138",5.61,0.57,-0.79
"Cell_LineX","Test_Compound139",3.13,0.32,-1.54
"Cell_LineX","Test_Compound14",11.43,1.15,1
"Cell_LineX","Test_Compound140",10.74,1.08,0.79
"Cell_LineX","Test_Compound141",8.54,0.86,0.11
"Cell_LineX","Test_Compound142",1.73,0.17,-1.98
"Cell_LineX","Test_Compound143",10.67,1.08,0.77
"Cell_LineX","Test_Compound144",7.95,0.8,-0.07
"Cell_LineX","Test_Compound145",7.98,0.81,-0.06
"Cell_LineX","Test_Compound146",2.79,0.28,-1.65
"Cell_LineX","Test_Compound147",9.27,0.94,0.34
"Cell_LineX","Test_Compound148",1.04,0.11,-2.19
"Cell_LineX","Test_Compound149",5.78,0.58,-0.73
"Cell_LineX","Test_Compound15",16.13,1.63,2.44
"Cell_LineX","Test_Compound150",7.13,0.72,-0.32
"Cell_LineX","Test_Compound151",9.13,0.92,0.29
"Cell_LineX","Test_Compound152",0.48,0.05,-2.36
"Cell_LineX","Test_Compound153",5.86,0.59,-0.71
"Cell_LineX","Test_Compound154",2.36,0.24,-1.78
"Cell_LineX","Test_Compound155",5.7,0.58,-0.76
"Cell_LineX","Test_Compound156",7.97,0.81,-0.06
"Cell_LineX","Test_Compound157",1.75,0.18,-1.97
"Cell_LineX","Test_Compound158",9.8,0.99,0.5
"Cell_LineX","Test_Compound159",7.18,0.72,-0.31
"Cell_LineX","Test_Compound16",11.63,1.18,1.06
"Cell_LineX","Test_Compound160",6.31,0.64,-0.57
"Cell_LineX","Test_Compound161",6.19,0.63,-0.61
"Cell_LineX","Test_Compound162",8.67,0.88,0.15
"Cell_LineX","Test_Compound163",10.03,1.01,0.57
"Cell_LineX","Test_Compound164",8.2,0.83,0.01
"Cell_LineX","Test_Compound165",10.63,1.07,0.75
"Cell_LineX","Test_Compound166",11.53,1.16,1.03
"Cell_LineX","Test_Compound167",6.91,0.7,-0.39
"Cell_LineX","Test_Compound168",2.07,0.21,-1.87
"Cell_LineX","Test_Compound169",8.09,0.82,-0.02
"Cell_LineX","Test_Compound17",4.01,0.4,-1.28
"Cell_LineX","Test_Compound170",7.54,0.76,-0.19
"Cell_LineX","Test_Compound171",6.72,0.68,-0.44
"Cell_LineX","Test_Compound172",4.61,0.47,-1.09
"Cell_LineX","Test_Compound173",7.56,0.76,-0.19
"Cell_LineX","Test_Compound174",5.3,0.54,-0.88
"Cell_LineX","Test_Compound175",0.84,0.08,-2.25
"Cell_LineX","Test_Compound176",3.08,0.31,-1.56
"Cell_LineX","Test_Compound177",6.66,0.67,-0.46
"Cell_LineX","Test_Compound178",1.64,0.17,-2
"Cell_LineX","Test_Compound179",10.81,1.09,0.81
"Cell_LineX","Test_Compound18",4.06,0.41,-1.26
"Cell_LineX","Test_Compound180",0.34,0.03,-2.4
"Cell_LineX","Test_Compound181",8.27,0.84,0.03
"Cell_LineX","Test_Compound182",11.1,1.12,0.9
"Cell_LineX","Test_Compound183",10.99,1.11,0.87
"Cell_LineX","Test_Compound185",0.19,0.02,-2.45
"Cell_LineX","Test_Compound186",0.72,0.07,-2.28
"Cell_LineX","Test_Compound187",11.76,1.19,1.1
"Cell_LineX","Test_Compound188",7.22,0.73,-0.29
"Cell_LineX","Test_Compound189",6.87,0.69,-0.4
"Cell_LineX","Test_Compound19",8.29,0.84,0.04
"Cell_LineX","Test_Compound190",5.36,0.54,-0.86
"Cell_LineX","Test_Compound191",5.97,0.6,-0.68
"Cell_LineX","Test_Compound192",8.69,0.88,0.16
"Cell_LineX","Test_Compound193",10.28,1.04,0.65
"Cell_LineX","Test_Compound194",0.5,0.05,-2.35
"Cell_LineX","Test_Compound195",6.84,0.69,-0.41
"Cell_LineX","Test_Compound196",9.68,0.98,0.46
"Cell_LineX","Test_Compound197",9.35,0.94,0.36
"Cell_LineX","Test_Compound198",4.21,0.42,-1.22
"Cell_LineX","Test_Compound199",4.43,0.45,-1.15
"Cell_LineX","Test_Compound20",9.21,0.93,0.32
"Cell_LineX","Test_Compound200",11.34,1.15,0.97
"Cell_LineX","Test_Compound201",0.79,0.08,-2.26
"Cell_LineX","Test_Compound202",5.91,0.6,-0.69
"Cell_LineX","Test_Compound203",6.47,0.65,-0.52
"Cell_LineX","Test_Compound204",9.73,0.98,0.48
"Cell_LineX","Test_Compound205",12.56,1.27,1.35
"Cell_LineX","Test_Compound206",12.78,1.29,1.41
"Cell_LineX","Test_Compound207",10.94,1.1,0.85
"Cell_LineX","Test_Compound208",3.15,0.32,-1.54
"Cell_LineX","Test_Compound209",8.51,0.86,0.1
"Cell_LineX","Test_Compound21",10.56,1.07,0.73
"Cell_LineX","Test_Compound210",2.67,0.27,-1.69
"Cell_LineX","Test_Compound211",12.37,1.25,1.29
"Cell_LineX","Test_Compound212",5.16,0.52,-0.92
"Cell_LineX","Test_Compound213",5.44,0.55,-0.84
