"Cell_Line","VCFG_Plate_ID","WellID","Compound_Name","Concentration","Units","CTG","Row_Norm","CTG_Norm","Robust_ZScore","Cell_Viability_Bin"
"Cell_LineX",1,"B03","Test_Compound01",10,"uM",11514,1,0.57,-0.93,"Moderate"
"Cell_LineX",1,"B04","Test_Compound01",1,"uM",15094,1,0.75,-0.38,"Moderate"
"Cell_LineX",1,"B05","Test_Compound01",0.1,"uM",16181,1,0.81,-0.22,"Normal"
"Cell_LineX",1,"B06","Test_Compound02",10,"uM",851,1,0.04,-2.57,"Very Low"
"Cell_LineX",1,"B07","Test_Compound02",1,"uM",3300,1,0.16,-2.2,"Very Low"
"Cell_LineX",1,"B08","Test_Compound02",0.1,"uM",10832,1,0.54,-1.04,"Moderate"
"Cell_LineX",1,"B10","Test_Compound03",10,"uM",21628,1,1.08,0.62,"Normal"
"Cell_LineX",1,"B11","Test_Compound03",1,"uM",18456,1,0.92,0.13,"Normal"
"Cell_LineX",1,"B12","Test_Compound03",0.1,"uM",16194,1,0.81,-0.21,"Normal"
"Cell_LineX",1,"B13","Test_Compound04",10,"uM",14976,1,0.75,-0.4,"Moderate"
"Cell_LineX",1,"B14","Test_Compound04",1,"uM",18012,1,0.9,0.07,"Normal"
"Cell_LineX",1,"B15","Test_Compound04",0.1,"uM",17631,1,0.88,0.01,"Normal"
"Cell_LineX",1,"B17","Test_Compound05",10,"uM",17296,1,0.86,-0.04,"Normal"
"Cell_LineX",1,"B18","Test_Compound05",1,"uM",14986,1,0.75,-0.4,"Moderate"
"Cell_LineX",1,"B19","Test_Compound05",0.1,"uM",17120,1,0.85,-0.07,"Normal"
"Cell_LineX",1,"B20","Test_Compound06",10,"uM",17239,1,0.86,-0.05,"Normal"
"Cell_LineX",1,"B21","Test_Compound06",1,"uM",13733,1,0.68,-0.59,"Moderate"
"Cell_LineX",1,"B22","Test_Compound06",0.1,"uM",17660,1,0.88,0.01,"Normal"
"Cell_LineX",1,"C03","Test_Compound07",10,"uM",200,1,0.01,-2.67,"Very Low"
"Cell_LineX",1,"C04","Test_Compound07",1,"uM",606,1,0.03,-2.61,"Very Low"
"Cell_LineX",1,"C05","Test_Compound07",0.1,"uM",800,1,0.04,-2.58,"Very Low"
"Cell_LineX",1,"C06","Test_Compound08",10,"uM",8975,1,0.45,-1.32,"Low"
"Cell_LineX",1,"C07","Test_Compound08",1,"uM",20282,1,1.01,0.42,"Normal"
"Cell_LineX",1,"C08","Test_Compound08",0.1,"uM",19662,1,0.98,0.32,"Normal"
"Cell_LineX",1,"C10","Test_Compound09",10,"uM",947,1,0.05,-2.56,"Very Low"
"Cell_LineX",1,"C11","Test_Compound09",1,"uM",7157,1,0.36,-1.6,"Low"
"Cell_LineX",1,"C12","Test_Compound09",0.1,"uM",22796,1,1.14,0.8,"Normal"
"Cell_LineX",1,"C13","Test_Compound10",10,"uM",16199,1,0.81,-0.21,"Normal"
"Cell_LineX",1,"C14","Test_Compound10",1,"uM",19390,1,0.97,0.28,"Normal"
"Cell_LineX",1,"C15","Test_Compound10",0.1,"uM",29132,1,1.45,1.78,"High"
"Cell_LineX",2,"D13","Test_Compound100",10,"uM",3088,1,0.15,-2.25,"Very Low"
"Cell_LineX",2,"D14","Test_Compound100",1,"uM",7488,1,0.36,-1.61,"Low"
"Cell_LineX",2,"D15","Test_Compound100",0.1,"uM",25912,1,1.23,1.09,"High"
"Cell_LineX",2,"D17","Test_Compound101",10,"uM",147,1,0.01,-2.68,"Very Low"
"Cell_LineX",2,"D18","Test_Compound101",1,"uM",8630,1,0.41,-1.44,"Low"
"Cell_LineX",2,"D19","Test_Compound101",0.1,"uM",17699,1,0.84,-0.11,"Normal"
"Cell_LineX",2,"D20","Test_Compound102",10,"uM",97,1,0,-2.69,"Very Low"
"Cell_LineX",2,"D21","Test_Compound102",1,"uM",819,1,0.04,-2.58,"Very Low"
"Cell_LineX",2,"D22","Test_Compound102",0.1,"uM",19948,1,0.95,0.22,"Normal"
"Cell_LineX",2,"E03","Test_Compound103",10,"uM",20933,1,0.99,0.36,"Normal"
"Cell_LineX",2,"E04","Test_Compound103",1,"uM",22770,1,1.08,0.63,"Normal"
"Cell_LineX",2,"E05","Test_Compound103",0.1,"uM",16325,1,0.77,-0.31,"Moderate"
"Cell_LineX",2,"E06","Test_Compound104",10,"uM",14631,1,0.69,-0.56,"Moderate"
"Cell_LineX",2,"E07","Test_Compound104",1,"uM",20317,1,0.96,0.27,"Normal"
"Cell_LineX",2,"E08","Test_Compound104",0.1,"uM",20154,1,0.96,0.25,"Normal"
"Cell_LineX",2,"E10","Test_Compound105",10,"uM",10347,1,0.49,-1.19,"Low"
"Cell_LineX",2,"E11","Test_Compound105",1,"uM",24507,1,1.16,0.88,"High"
"Cell_LineX",2,"E12","Test_Compound105",0.1,"uM",24015,1,1.14,0.81,"Normal"
